币种,最小下单量
FETBUSD,1.00000000
ARPABUSD,0.10000000
LSKBUSD,0.10000000
FIDA-USDT,0.10000000
FIDABUSD,0.10000000
DENTBUSD,1.00000000
FRONT-USDT,0.10000000
CVP-USDT,0.10000000
AGLDBUSD,0.10000000
AGLD-USDT,0.10000000
RADBUSD,0.10000000
RAD-USDT,0.10000000
HIVEBUSD,1.00000000
STPTBUSD,0.10000000
BETABUSD,1.00000000
BETA-USDT,1.00000000
RAREBUSD,0.10000000
RARE-USDT,0.10000000
TROYBUSD,1.00000000
LAZIO-USDT,0.01000000
CHESSBUSD,0.10000000
CHESS-USDT,0.10000000
SCRTBUSD,0.10000000
ADX-USDT,1.00000000
AUCTION-USDT,0.01000000
CELOBUSD,0.10000000
DAR-USDT,1.00000000
DARBUSD,1.00000000
BNXBUSD,0.10000000
BNX-USDT,0.10000000
RGT-USDT,0.01000000
RGTBUSD,0.01000000
LAZIOBUSD,0.01000000
OXTBUSD,1.00000000
MOVRBUSD,0.00100000
MOVR-USDT,0.00100000
CITYBUSD,0.01000000
CITY-USDT,0.01000000
ENSBUSD,0.01000000
ENS-USDT,0.01000000
ANKRBUSD,0.10000000
KP3R-USDT,0.01000000
QI-USDT,1.00000000
QIBUSD,1.00000000
PORTO-USDT,0.01000000
POWR-USDT,1.00000000
POWRBUSD,1.00000000
VGX-USDT,0.10000000
JASMY-USDT,0.10000000
JASMYBUSD,0.10000000
AMPBUSD,1.00000000
AMP-USDT,1.00000000
PLABUSD,0.01000000
PLA-USDT,0.01000000
PYRBUSD,0.00100000
PYR-USDT,0.00100000
RNDR-USDT,0.01000000
RNDRBUSD,0.01000000
ALCXBUSD,0.00010000
ALCX-USDT,0.00010000
SANTOS-USDT,0.01000000
MCBUSD,0.01000000
MC-USDT,0.01000000
COCOSBUSD,1.00000000
ANYBUSD,0.01000000
ANY-USDT,0.01000000
BICOBUSD,0.01000000
BICO-USDT,0.01000000
FLUXBUSD,0.01000000
FLUX-USDT,0.01000000
FXS-USDT,0.10000000
REQBUSD,1.00000000
VOXELBUSD,0.10000000
VOXEL-USDT,0.10000000
COSBUSD,0.10000000
CTXCBUSD,1.00000000
